problem,size,model,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5
Glass,80%,Baseline,0.7906976744186046,0.5581395348837209,0.7209302325581395,0.7441860465116279,0.6511627906976745
Glass,80%,Random Projections,0.7906976744186046,0.5581395348837209,0.6976744186046512,0.7209302325581395,0.627906976744186
Glass,80%,Random Hyperplanes,0.7441860465116279,0.6046511627906976,0.6511627906976745,0.7441860465116279,0.6046511627906976
Glass,50%,Baseline,0.6542056074766355,0.6728971962616822,0.6542056074766355,0.7009345794392523,0.5794392523364486
Glass,50%,Random Projections,0.6728971962616822,0.6915887850467289,0.6448598130841121,0.6822429906542056,0.6261682242990654
Glass,50%,Random Hyperplanes,0.6542056074766355,0.6728971962616822,0.5981308411214953,0.6542056074766355,0.5794392523364486
Glass,30%,Baseline,0.6533333333333333,0.5866666666666667,0.6933333333333334,0.6066666666666667,0.6266666666666667
Glass,30%,Random Projections,0.6533333333333333,0.5866666666666667,0.6133333333333333,0.62,0.5533333333333333
Glass,30%,Random Hyperplanes,0.6733333333333333,0.4533333333333333,0.6533333333333333,0.6066666666666667,0.6533333333333333
Glass,20%,Baseline,0.6046511627906976,0.5988372093023255,0.6627906976744186,0.5523255813953488,0.5988372093023255
Glass,20%,Random Projections,0.5930232558139535,0.622093023255814,0.627906976744186,0.5465116279069767,0.48255813953488375
Glass,20%,Random Hyperplanes,0.5930232558139535,0.6162790697674418,0.6627906976744186,0.42441860465116277,0.4186046511627907
Glass,10%,Baseline,0.43523316062176165,0.6010362694300518,0.44559585492227977,0.44559585492227977,0.42487046632124353
Glass,10%,Random Projections,0.44559585492227977,0.5906735751295337,0.44559585492227977,0.5077720207253886,0.39896373056994816
Glass,10%,Random Hyperplanes,0.42487046632124353,0.6062176165803109,0.5181347150259067,0.40414507772020725,0.30569948186528495
